#[ 全船船体网格数 ]
 4287
    52.50000     0.00014     0.00029    52.50000     0.66197     0.27513    51.75000     0.66486     0.29183    51.75000     0.00014     0.02384
    52.50000     0.66197     0.27513    52.50000     1.31542     0.58220    51.75000     1.32170     0.59094    51.75000     0.66486     0.29183
    52.50000     1.31542     0.58220    52.50000     1.96993     0.88698    51.75000     1.97883     0.88972    51.75000     1.32170     0.59094
    52.50000     1.96993     0.88698    52.50000     2.61965     1.20180    51.75000     2.63022     1.20103    51.75000     1.97883     0.88972
    52.50000     2.61965     1.20180    52.50000     3.24605     1.56026    51.75000     3.25812     1.55690    51.75000     2.63022     1.20103
    52.50000     3.24605     1.56026    52.50000     3.81274     2.00601    51.75000     3.82685     2.00001    51.75000     3.25812     1.55690
    52.50000     3.81274     2.00601    52.50000     4.27151     2.56189    51.75000     4.28436     2.55682    51.75000     3.82685     2.00001
    52.50000     4.27151     2.56189    52.50000     4.61854     3.19422    51.75000     4.62643     3.19172    51.75000     4.28436     2.55682
    52.50000     4.61854     3.19422    52.50000     4.87166     3.86995    51.75000     4.87441     3.86930    51.75000     4.62643     3.19172
    52.50000     4.87166     3.86995    52.50000     5.04837     4.56973    51.75000     5.04902     4.56967    51.75000     4.87441     3.86930
    52.50000     5.04837     4.56973    52.50000     5.16470     5.28216    51.75000     5.16558     5.28211    51.75000     5.04902     4.56967
    52.50000     5.16470     5.28216    52.50000     5.23876     6.00029    51.75000     5.23969     6.00029    51.75000     5.16558     5.28211
    51.75000     0.00014     0.02384    51.75000     0.66486     0.29183    51.00000     0.66774     0.30853    51.00000     0.00014     0.04740
    51.75000     0.66486     0.29183    51.75000     1.32170     0.59094    51.00000     1.32798     0.59967    51.00000     0.66774     0.30853
    51.75000     1.32170     0.59094    51.75000     1.97883     0.88972    51.00000     1.98773     0.89247    51.00000     1.32798     0.59967
    51.75000     1.97883     0.88972    51.75000     2.63022     1.20103    51.00000     2.64079     1.20027    51.00000     1.98773     0.89247
