case,rows,time_first,time_last,window_rows,sail_all_enabled
B005,1400,0.005,6.999999999999873,801,True
B0025,2800,0.0025,7.000000000000394,1601,True
F005,1400,0.005,6.999999999999873,801,True
F0025,2800,0.0025,7.000000000000394,1601,True
