time,load_ID,sail_enable,surge,sway,heave,roll,pitch,yaw,surge_rate,sway_rate,heave_rate,roll_rate,pitch_rate,yaw_rate,V_CG_BODY_X,V_CG_BODY_Y,V_CG_BODY_Z,OMEGA_BODY_X,OMEGA_BODY_Y,OMEGA_BODY_Z,V_WIND_BODY_X,V_WIND_BODY_Y,V_WIND_BODY_Z,V_REL_BODY_X,V_REL_BODY_Y,V_REL_BODY_Z,V_REL_H_MAG,E_UPSTREAM_X,E_UPSTREAM_Y,E_UPSTREAM_Z,C_CHORD_X,C_CHORD_Y,C_CHORD_Z,ALPHA_RAW_DEG,ALPHA_DB_DEG,CL,CD,Q_DYNAMIC,Fx,Fy,Fz,Mx,My,Mz,FX_PLANNING,FY_PLANNING,FZ_PLANNING,MX_PLANNING,MY_PLANNING,MZ_PLANNING,case
0.0025,1,T,0.0,0.0,1.568605746600724e-06,0.0,1.341725341939658e-06,0.0,0.0,0.0,0.00156282233756618,0.0,0.001172949578805889,0.0,32.07798433091258,0.0,0.001605862182062742,0.0,0.001172949578805889,0.0,0.0,10.0,0.0,-32.08384907880661,10.0,-0.001605862182062742,33.60615080177496,0.9547016933909626,-0.2975645755738213,0.0,0.0,-1.0,0.0,72.68861554485115,72.68861554485115,-0.4045519647054055,1.217326557133751,691.7411901733793,-13308.03583156682,-248.9561199989642,0.0,1244.780599994821,-66540.17915783409,0.0,-13308.03583155484,-248.9561199989642,0.01785572892664886,1244.7805999937,-66540.17915783409,-0.001670153676167403,dt_0025
0.005,1,T,0.0,0.0,7.811810984100984e-06,0.0,5.862033349159948e-06,0.0,0.0,0.0,0.003431567649219255,0.0,0.0024428007138685,0.0,32.07798431237121,0.0,0.003619609863093318,0.0,0.0024428007138685,0.0,0.0,10.0,0.0,-32.09019831594055,10.0,-0.003619609863093318,33.61221248231652,0.9547184176829568,-0.2975109122989458,0.0,0.0,-1.0,0.0,72.69183608196246,72.69183608196246,-0.4044965451649642,1.217422577740794,691.9907571232915,-13313.60350293482,-248.9485167460506,0.0,1244.742583730253,-66568.01751467412,0.0,-13313.60350270607,-248.9485167460506,0.07804478773124966,1244.742583708866,-66568.01751467412,-0.007296722536904473,dt_0025
0.0075,1,T,0.0,0.0,1.87278607244401e-05,0.0,1.355367841179755e-05,0.0,0.0,0.0,0.005301752835938615,0.0,0.003710140033496297,0.0,32.07798425823368,0.0,0.005736527519187014,0.0,0.003710140033496297,0.0,0.0,10.0,0.0,-32.09653495840116,10.0,-0.005736527519187014,33.61826224443892,0.95473509978079,-0.2974573738312183,0.0,0.0,-1.0,0.0,72.69504907270932,72.69504907270932,-0.4044412554836228,1.217518373352294,692.239878255719,-13319.16140566712,-248.9409979315814,0.0,1244.704989657907,-66595.8070283356,0.0,-13319.16140444374,-248.9409979315814,0.1805236304017105,1244.704989543579,-66595.8070283356,-0.01687033114686655,dt_0025
0.01,1,T,0.0,0.0,3.432510516451143e-05,0.0,2.441124643204358e-05,0.0,0.0,0.0,0.007177115091408118,0.0,0.004975642752841569,0.0,32.07798414827823,0.0,0.007960178669788924,0.0,0.004975642752841569,0.0,0.0,10.0,0.0,-32.10286236204244,10.0,-0.007960178669788924,33.62430329146228,0.9547517485721064,-0.2974039317132603,0.0,0.0,-1.0,0.0,72.69825622525826,72.69825622525826,-0.4043860662669662,1.217613994897392,692.4886852496976,-13324.71247661555,-248.9335592198482,0.0,1244.667796099241,-66623.56238307778,0.0,-13324.7124726454,-248.9335592198482,0.3252728398704825,1244.667795728387,-66623.56238307778,-0.03038389229358946,dt_0025
0.0125,1,T,0.0,0.0,5.4643729434511e-05,0.0,3.842701251339467e-05,0.0,0.0,0.0,0.009108271191069816,0.0,0.006232435473101509,0.0,32.07798395935094,0.0,0.0103409322894118,0.0,0.006232435473101509,0.0,0.0,10.0,0.0,-32.10914613671645,10.0,-0.0103409322894118,33.6303027882446,0.954768273687388,-0.2973508761715782,0.0,0.0,-1.0,0.0,72.70144012339178,72.70144012339178,-0.4043312772161737,1.217708923109977,692.7358251977702,-13330.22652919267,-248.9262401810586,0.0,1244.631200905293,-66651.13264596336,0.0,-13330.22651935073,-248.9262401810586,0.5122407815176069,1244.63119998636,-66651.13264596336,-0.0478274587199785,dt_0025
0.015,1,T,0.0,0.0,8.03059526811111e-05,0.0,5.552002847544756e-05,0.0,0.0,0.0,0.01151010118673198,0.0,0.007431345424172242,0.0,32.07798364455741,0.0,0.01329107177168247,0.0,0.007431345424172242,0.0,0.0,10.0,0.0,-32.11514037167827,10.0,-0.01329107177168247,33.63602594083611,0.9547840291289764,-0.2973002820722472,0.0,0.0,-1.0,0.0,72.70447625741646,72.70447625741646,-0.4042790309148426,1.217799445722211,692.9716226692173,-13335.48767677349,-248.9193218952722,0.0,1244.596609476361,-66677.43838386744,0.0,-13335.48765622034,-248.9193218952722,0.7403866551680738,1244.596607558143,-66677.43838386744,-0.06910003916307322,dt_0025
0.0175,1,T,0.0,0.0,0.0001124845144504254,0.0,7.555831462395067e-05,0.0,0.0,0.0,0.0142649753310369,0.0,0.00860599565489515,0.0,32.07798316363328,0.0,0.01668873372074875,0.0,0.00860599565489515,0.0,0.0,10.0,0.0,-32.12101314190776,10.0,-0.01668873372074875,33.64163321336542,0.954799457511072,-0.2972507290765872,0.0,0.0,-1.0,0.0,72.7074498666174,72.7074498666174,-0.4042278605511201,1.217888104151136,693.2026847233493,-13340.64332059367,-248.9126039435928,0.0,1244.563019717964,-66703.21660296834,0.0,-13340.64328251241,-248.9126039435928,1.007996524344204,1244.563016165322,-66703.21660296834,-0.09403708412370684,dt_0025
0.02,1,T,0.0,0.0,0.000151540992375458,0.0,9.863163132436912e-05,0.0,0.0,0.0,0.01704918486412677,0.0,0.009868088775978593,0.0,32.07798249541892,0.0,0.02021308870043312,0.0,0.009868088775978593,0.0,0.0,10.0,0.0,-32.12732293929881,10.0,-0.02021308870043312,33.64765785676612,0.9548160254143336,-0.2971975060662098,0.0,0.0,-1.0,0.0,72.71064365499426,72.71064365499426,-0.4041729013073684,1.217983327242226,693.450988538172,-13346.18384589909,-248.9054524127408,0.0,1244.527262063704,-66730.91922949547,0.0,-13346.18378098193,-248.9054524127408,1.316355882541675,1244.5272560102,-66730.91922949547,-0.1227497538859714,dt_0025
0.0225,1,T,0.0,0.0,0.0001983263001866806,0.0,0.0001248955553834256,0.0,0.0,0.0,0.02043293908706139,0.0,0.01114658271985436,0.0,32.07798153086443,0.0,0.02443933658613546,0.0,0.01114658271985436,0.0,0.0,10.0,0.0,-32.1337144444637,10.0,-0.02443933658613546,33.65376062193251,0.9548327987904516,-0.2971436123392076,0.0,0.0,-1.0,0.0,72.71387763504283,72.71387763504283,-0.4041172504386178,1.218079748651667,693.7025574489802,-13351.79740571154,-248.8982783419856,0.0,1244.491391709928,-66758.98702855768,0.0,-13351.79730157486,-248.8982783419856,1.667580148017921,1244.49138200358,-66758.98702855768,-0.1554314431334105,dt_0025
0.025,1,T,0.0,0.0,0.0002536356045359689,0.0,0.0001544111302882837,0.0,0.0,0.0,0.02384740759270943,0.0,0.01246527733983862,0.0,32.07798026831875,0.0,0.02880060510696627,0.0,0.01246527733983862,0.0,0.0,10.0,0.0,-32.14030665501794,10.0,-0.02880060510696627,33.66005513778298,0.9548500893256368,-0.2970880457285743,0.0,0.0,-1.0,0.0,72.71721193969628,72.71721193969628,-0.4040598731673124,1.218179161248331,693.9620785256365,-13357.58860026247,-248.8909528714419,0.0,1244.45476435721,-66787.94300131235,0.0,-13357.58844102133,-248.8909528714419,2.06256034549622,1244.454749521568,-66787.94300131235,-0.1921576659934404,dt_0025
