time,surge,sway,heave,roll,pitch,yaw,surge_rate,sway_rate,heave_rate,roll_rate,pitch_rate,yaw_rate
0.005,0.0,0.0,6.273419000989397e-06,0.0,5.362904239887867e-06,0.0,0.0,0.0,0.003123822775107228,0.0,0.00234310724368454,0.0
0.01,0.0,0.0,3.123693942679579e-05,0.0,2.341234448325141e-05,0.0,0.0,0.0,0.006863186879843847,0.0,0.004875075957568756,0.0
0.015,0.0,0.0,7.512569142748021e-05,0.0,5.408004637793223e-05,0.0,0.0,0.0,0.01073736249336174,0.0,0.007386314027826408,0.0
0.02,0.0,0.0,0.000139234812562847,0.0,9.723218136113e-05,0.0,0.0,0.0,0.01497969339266169,0.0,0.009875461878035044,0.0
0.025,0.0,0.0,0.0002252667142412404,0.0,0.000152840100369471,0.0,0.0,0.0,0.01946962749164701,0.0,0.0123821401803569,0.0
0.03,0.0,0.0,0.0003343594495212133,0.0,0.0002211570196346044,0.0,0.0,0.0,0.02421024760094677,0.0,0.01494724777691807,0.0
0.035,0.0,0.0,0.0004669975092028317,0.0,0.0003022301432470434,0.0,0.0,0.0,0.02880590341719474,0.0,0.01748066056971768,0.0
0.04,0.0,0.0,0.0006225625544411359,0.0,0.0003959171343856719,0.0,0.0,0.0,0.03343217960218541,0.0,0.01998343247319454,0.0
0.045,0.0,0.0,0.0008012269862620106,0.0,0.0005020441802105604,0.0,0.0,0.0,0.03807490411258043,0.0,0.02245840451138391,0.0
0.05,0.0,0.0,0.001002869426936818,0.0,0.0006204547027578134,0.0,0.0,0.0,0.04258579332794853,0.0,0.02490255975047527,0.0
0.05499999999999999,0.0,0.0,0.001226904774039492,0.0,0.0007509982033949295,0.0,0.0,0.0,0.0469771728810419,0.0,0.02729955450213761,0.0
0.05999999999999999,0.0,0.0,0.001471886041306587,0.0,0.0008933631955891961,0.0,0.0,0.0,0.05096000793802359,0.0,0.02963801675450952,0.0
0.06499999999999999,0.0,0.0,0.001736291048997586,0.0,0.001047296141509493,0.0,0.0,0.0,0.05474887280415811,0.0,0.03192886653237693,0.0
0.06999999999999999,0.0,0.0,0.002018962747167305,0.0,0.001212568109192276,0.0,0.0,0.0,0.05828939960670646,0.0,0.03417010613069887,0.0
0.075,0.0,0.0,0.002318722049747259,0.0,0.001388896448582134,0.0,0.0,0.0,0.06161521294781434,0.0,0.03634450502829892,0.0
0.08,0.0,0.0,0.002634717337993674,0.0,0.001575950342951141,0.0,0.0,0.0,0.06473058906369356,0.0,0.03847377300012128,0.0
0.085,0.0,0.0,0.002965923287916407,0.0,0.001773570133334176,0.0,0.0,0.0,0.06773245889896606,0.0,0.04056896210170445,0.0
0.09000000000000001,0.0,0.0,0.00331189860417628,0.0,0.001981579039706278,0.0,0.0,0.0,0.07062864598718936,0.0,0.04262979377753252,0.0
0.095,0.0,0.0,0.00367213680989173,0.0,0.002199805400252065,0.0,0.0,0.0,0.07344741364966494,0.0,0.04465516604771035,0.0
0.1,0.0,0.0,0.004046129713870607,0.0,0.002428070537507589,0.0,0.0,0.0,0.07615200188652152,0.0,0.04664276502417975,0.0
0.105,0.0,0.0,0.004433724460519694,0.0,0.002666144588495387,0.0,0.0,0.0,0.07885627129657258,0.0,0.04858270552786507,0.0
0.11,0.0,0.0,0.004834145896046436,0.0,0.002913878002373511,0.0,0.0,0.0,0.0812780582979127,0.0,0.05050649425363829,0.0
0.115,0.0,0.0,0.005246445982643578,0.0,0.003171138809899718,0.0,0.0,0.0,0.08360866492103063,0.0,0.05239279391763139,0.0
0.12,0.0,0.0,0.005669911259257723,0.0,0.00343775398744668,0.0,0.0,0.0,0.08578293658084009,0.0,0.05424341708030647,0.0
0.125,0.0,0.0,0.006104271437504988,0.0,0.003713483820172135,0.0,0.0,0.0,0.08795161198560181,0.0,0.05604040273802986,0.0
0.13,0.0,0.0,0.006549355779243361,0.0,0.003998076693722509,0.0,0.0,0.0,0.0900582780947775,0.0,0.05779077922496641,0.0
0.135,0.0,0.0,0.007004607068646711,0.0,0.004291331159640606,0.0,0.0,0.0,0.09203967082112764,0.0,0.05950152136326287,0.0
0.14,0.0,0.0,0.007469568309866048,0.0,0.004593022610098463,0.0,0.0,0.0,0.09392277057011136,0.0,0.06116855454393931,0.0
0.145,0.0,0.0,0.00794383997455423,0.0,0.0049029177306794,0.0,0.0,0.0,0.0957815403978484,0.0,0.06278046584995345,0.0
0.15,0.0,0.0,0.00842723538284487,0.0,0.005220748907683754,0.0,0.0,0.0,0.09757877985399337,0.0,0.06434185845306066,0.0
0.1550000000000001,0.0,0.0,0.008919446939637681,0.0,0.005546263499010994,0.0,0.0,0.0,0.0993010841337665,0.0,0.0658551250047127,0.0
0.1600000000000001,0.0,0.0,0.009420342030392137,0.0,0.005879188633650384,0.0,0.0,0.0,0.1010575664471284,0.0,0.06730496860914958,0.0
0.1650000000000001,0.0,0.0,0.009929915953860727,0.0,0.006219226141037211,0.0,0.0,0.0,0.102757142442682,0.0,0.0687022374668873,0.0
0.1700000000000001,0.0,0.0,0.01044788887384172,0.0,0.00656611568024246,0.0,0.0,0.0,0.1044581253993624,0.0,0.07004059670408147,0.0
0.1750000000000001,0.0,0.0,0.01097447776958101,0.0,0.006919532561305455,0.0,0.0,0.0,0.1061699647841043,0.0,0.07131697605884325,0.0
0.1800000000000001,0.0,0.0,0.01151001132376427,0.0,0.007279128727690509,0.0,0.0,0.0,0.1080765402224997,0.0,0.07250769062368144,0.0
0.1850000000000001,0.0,0.0,0.01205508461063668,0.0,0.007644534046957509,0.0,0.0,0.0,0.1099442784246077,0.0,0.07364579882437503,0.0
0.1900000000000001,0.0,0.0,0.01260952565189492,0.0,0.008015476411319764,0.0,0.0,0.0,0.1118090836654214,0.0,0.07472363408457575,0.0
0.1950000000000001,0.0,0.0,0.01317317768604163,0.0,0.008391669762451204,0.0,0.0,0.0,0.1136658216657841,0.0,0.07574198475947957,0.0
0.2000000000000001,0.0,0.0,0.01374610765331952,0.0,0.008772816303427326,0.0,0.0,0.0,0.1155025310875171,0.0,0.07670751378002291,0.0
0.2050000000000001,0.0,0.0,0.01432838953009444,0.0,0.009158621422711986,0.0,0.0,0.0,0.1174311439443396,0.0,0.07760235414404053,0.0
0.2100000000000001,0.0,0.0,0.01492054768052004,0.0,0.00954872100884354,0.0,0.0,0.0,0.1194321088485694,0.0,0.07842792841994835,0.0
0.2150000000000001,0.0,0.0,0.01552237944316414,0.0,0.009942843865092569,0.0,0.0,0.0,0.1212738792053411,0.0,0.07921442278411495,0.0
0.2200000000000001,0.0,0.0,0.01613334829972117,0.0,0.01034076108697753,0.0,0.0,0.0,0.1230983198988188,0.0,0.07994504175656561,0.0
0.2250000000000001,0.0,0.0,0.01675338536868938,0.0,0.01074219654159566,0.0,0.0,0.0,0.1248861120870463,0.0,0.08062409175176556,0.0
0.2300000000000001,0.0,0.0,0.01738192207011714,0.0,0.01114694826069523,0.0,0.0,0.0,0.1265074959314012,0.0,0.08127019553344163,0.0
0.2350000000000001,0.0,0.0,0.01801816107169397,0.0,0.01155484662668536,0.0,0.0,0.0,0.1279506695228163,0.0,0.08188506511718954,0.0
0.2400000000000001,0.0,0.0,0.0186611655804978,0.0,0.01196574727170914,0.0,0.0,0.0,0.1292234965887683,0.0,0.0824701128300415,0.0
0.2450000000000001,0.0,0.0,0.0193092650884151,0.0,0.01237958912956667,0.0,0.0,0.0,0.1299407327223852,0.0,0.08306686656296548,0.0
0.2500000000000001,0.0,0.0,0.01995995908916191,0.0,0.01279640939924382,0.0,0.0,0.0,0.1302741050469271,0.0,0.0836608609615294,0.0
0.2550000000000001,0.0,0.0,0.02061150125110119,0.0,0.01321617333853181,0.0,0.0,0.0,0.1302941997324039,0.0,0.08424245502362064,0.0
0.2600000000000001,0.0,0.0,0.02126245472581591,0.0,0.0136388068445957,0.0,0.0,0.0,0.1300598988204814,0.0,0.0848057304950318,0.0
0.2650000000000001,0.0,0.0,0.02191038930981008,0.0,0.0140643461850782,0.0,0.0,0.0,0.129037613779002,0.0,0.08541127132902154,0.0
0.2700000000000001,0.0,0.0,0.022552484752485,0.0,0.01449288066737706,0.0,0.0,0.0,0.1277633912020944,0.0,0.08599882854857924,0.0
0.2750000000000001,0.0,0.0,0.02318697566428366,0.0,0.01492437492321502,0.0,0.0,0.0,0.1259935936122978,0.0,0.08659555034991878,0.0
0.2800000000000001,0.0,0.0,0.0238120580973924,0.0,0.01535880060756755,0.0,0.0,0.0,0.124007705430896,0.0,0.08717049574204859,0.0
0.2850000000000001,0.0,0.0,0.02442631168630507,0.0,0.01579609123355878,0.0,0.0,0.0,0.1216641551676668,0.0,0.08774137813716643,0.0
0.2900000000000001,0.0,0.0,0.02502850203324607,0.0,0.01623616058976556,0.0,0.0,0.0,0.1191941432069032,0.0,0.08828062721670489,0.0
0.2950000000000002,0.0,0.0,0.02561810778372636,0.0,0.01667883866125676,0.0,0.0,0.0,0.1166318159448131,0.0,0.0887848021056676,0.0
0.3000000000000002,0.0,0.0,0.02619468427835647,0.0,0.01712395023319358,0.0,0.0,0.0,0.1139832184804192,0.0,0.08925406899856683,0.0
0.3050000000000002,0.0,0.0,0.02675781183923279,0.0,0.01757132141342254,0.0,0.0,0.0,0.1112528560129223,0.0,0.08968869134081546,0.0
0.3100000000000002,0.0,0.0,0.02730708730287531,0.0,0.01802078061346267,0.0,0.0,0.0,0.1084427877939904,0.0,0.09008936035847682,0.0
0.3150000000000002,0.0,0.0,0.02784211965501168,0.0,0.01847215918027311,0.0,0.0,0.0,0.1055560285819168,0.0,0.09045651795848264,0.0
0.3200000000000002,0.0,0.0,0.02836253287023689,0.0,0.01892529057222956,0.0,0.0,0.0,0.1025960178264091,0.0,0.09079047167806752,0.0
0.3250000000000002,0.0,0.0,0.02886796181672422,0.0,0.01938001093664965,0.0,0.0,0.0,0.09956198677952934,0.0,0.09109233510986342,0.0
0.3300000000000002,0.0,0.0,0.02935804399460707,0.0,0.01983616056797304,0.0,0.0,0.0,0.0964580285759101,0.0,0.09136219025171809,0.0
0.3350000000000002,0.0,0.0,0.02983243637400607,0.0,0.02029358026899947,0.0,0.0,0.0,0.0932864964641676,0.0,0.09160043302117477,0.0
0.3400000000000002,0.0,0.0,0.03029080581394558,0.0,0.02075211309855871,0.0,0.0,0.0,0.0900492794068471,0.0,0.09180751143056284,0.0
0.3450000000000002,0.0,0.0,0.03073282827165324,0.0,0.02121160434175636,0.0,0.0,0.0,0.08674813096131727,0.0,0.09198386684512948,0.0
0.3500000000000002,0.0,0.0,0.0311581934907944,0.0,0.02167190038231354,0.0,0.0,0.0,0.08338747480518487,0.0,0.09212936226914092,0.0
0.3550000000000002,0.0,0.0,0.03156662711069315,0.0,0.02213284415995555,0.0,0.0,0.0,0.07997785378886675,0.0,0.0922426501021512,0.0
0.3600000000000002,0.0,0.0,0.03195792915879001,0.0,0.02259426780151774,0.0,0.0,0.0,0.07653864543142705,0.0,0.09232073997976184,0.0
0.3650000000000002,0.0,0.0,0.03233197362381261,0.0,0.02305599310635594,0.0,0.0,0.0,0.07307789017270505,0.0,0.09236292490700028,0.0
0.3700000000000002,0.0,0.0,0.03268873379610972,0.0,0.02351782769346361,0.0,0.0,0.0,0.06963002501155174,0.0,0.09236371296166623,0.0
0.3750000000000002,0.0,0.0,0.03302826375008155,0.0,0.02397956839117134,0.0,0.0,0.0,0.06618681748761536,0.0,0.09232533409998778,0.0
0.3800000000000002,0.0,0.0,0.03335065360348947,0.0,0.02444100938075883,0.0,0.0,0.0,0.0627797923807072,0.0,0.09224302053487306,0.0
0.3850000000000002,0.0,0.0,0.03365612992026892,0.0,0.02490192488614744,0.0,0.0,0.0,0.05942471079387936,0.0,0.0921146984987568,0.0
0.3900000000000002,0.0,0.0,0.03394499605488303,0.0,0.02536207934235271,0.0,0.0,0.0,0.05613002282663809,0.0,0.091939732284755,0.0
0.3950000000000002,0.0,0.0,0.03421757728774213,0.0,0.02582123785338612,0.0,0.0,0.0,0.05291024984868733,0.0,0.09171654322457422,0.0
0.4000000000000002,0.0,0.0,0.03447425368721185,0.0,0.02627915895840612,0.0,0.0,0.0,0.04979329719862059,0.0,0.09144075891501552,0.0
0.4050000000000002,0.0,0.0,0.0347156583332949,0.0,0.0267355635629158,0.0,0.0,0.0,0.04679121591999907,0.0,0.0911118242995418,0.0
0.4100000000000003,0.0,0.0,0.03494235719439669,0.0,0.02719018742069172,0.0,0.0,0.0,0.04391181657661823,0.0,0.09072842565543277,0.0
0.4150000000000003,0.0,0.0,0.03515490702523918,0.0,0.02764277007714726,0.0,0.0,0.0,0.04113133603723483,0.0,0.0902955752963928,0.0
0.4200000000000003,0.0,0.0,0.03535311840779096,0.0,0.02809317999564348,0.0,0.0,0.0,0.0381249072546078,0.0,0.0898679436369579,0.0
0.4250000000000003,0.0,0.0,0.03553630493134132,0.0,0.02854137009540107,0.0,0.0,0.0,0.0351668113754285,0.0,0.08940025222846276,0.0
0.4300000000000003,0.0,0.0,0.03570479608354119,0.0,0.02898712916943581,0.0,0.0,0.0,0.03223659110933616,0.0,0.08889747001626713,0.0
0.4350000000000003,0.0,0.0,0.035858745390316,0.0,0.02943028176362018,0.0,0.0,0.0,0.02935164399547953,0.0,0.08835756909906047,0.0
0.4400000000000003,0.0,0.0,0.03599837405869592,0.0,0.02987064533926673,0.0,0.0,0.0,0.0264826988904741,0.0,0.08778640267890964,0.0
0.4450000000000003,0.0,0.0,0.03612258545024904,0.0,0.03030826776772734,0.0,0.0,0.0,0.02319706790318182,0.0,0.08725918310685597,0.0
0.4500000000000003,0.0,0.0,0.03623003085099025,0.0,0.03074324729597741,0.0,0.0,0.0,0.01970423967399551,0.0,0.08674227805268311,0.0
0.4550000000000003,0.0,0.0,0.0363189381138817,0.0,0.03117577022521197,0.0,0.0,0.0,0.01584285348651669,0.0,0.08626587224493439,0.0
0.4600000000000003,0.0,0.0,0.03638774604040417,0.0,0.03160599555209903,0.0,0.0,0.0,0.01167292524261895,0.0,0.08582188301860219,0.0
0.4650000000000003,0.0,0.0,0.03643520073184853,0.0,0.03203403754462395,0.0,0.0,0.0,0.007303200273423923,0.0,0.08539240777624765,0.0
0.4700000000000003,0.0,0.0,0.03646052289969257,0.0,0.03245993065068322,0.0,0.0,0.0,0.002821089737706286,0.0,0.08496227267822908,0.0
0.4750000000000003,0.0,0.0,0.03646329871542289,0.0,0.03288364539593275,0.0,0.0,0.0,-0.001712976604935278,0.0,0.08452074157002966,0.0
0.4800000000000003,0.0,0.0,0.03644335511704525,0.0,0.03330510968743116,0.0,0.0,0.0,-0.006264703041903259,0.0,0.08406182069596374,0.0
0.4850000000000003,0.0,0.0,0.03640062693315564,0.0,0.03372423431866408,0.0,0.0,0.0,-0.01082629642144411,0.0,0.08358490878345737,0.0
0.4900000000000003,0.0,0.0,0.03633507481891447,0.0,0.03414092978853276,0.0,0.0,0.0,-0.0153938905576003,0.0,0.08309021082196219,0.0
0.4950000000000003,0.0,0.0,0.03624667845866186,0.0,0.03455510764885249,0.0,0.0,0.0,-0.01996362146262992,0.0,0.08257791758174034,0.0
0.5000000000000003,0.0,0.0,0.03613543698675261,0.0,0.03496668030856308,0.0,0.0,0.0,-0.02453157338733165,0.0,0.08204818156114171,0.0
