time,load_ID,sail_enable,surge,sway,heave,roll,pitch,yaw,surge_rate,sway_rate,heave_rate,roll_rate,pitch_rate,yaw_rate,V_CG_BODY_X,V_CG_BODY_Y,V_CG_BODY_Z,OMEGA_BODY_X,OMEGA_BODY_Y,OMEGA_BODY_Z,V_WIND_BODY_X,V_WIND_BODY_Y,V_WIND_BODY_Z,V_REL_BODY_X,V_REL_BODY_Y,V_REL_BODY_Z,V_REL_H_MAG,E_UPSTREAM_X,E_UPSTREAM_Y,E_UPSTREAM_Z,C_CHORD_X,C_CHORD_Y,C_CHORD_Z,ALPHA_RAW_DEG,ALPHA_DB_DEG,CL,CD,Q_DYNAMIC,Fx,Fy,Fz,Mx,My,Mz,FX_PLANNING,FY_PLANNING,FZ_PLANNING,MX_PLANNING,MY_PLANNING,MZ_PLANNING,case
0.05499999999999999,1,T,0.0,0.0,0.001226904774039492,0.0,0.0007509982033949295,0.0,0.0,0.0,0.0469771728810419,0.0,0.02729955450213761,0.0,32.0779400073053,0.0,0.07106766597166123,0.0,0.02729955450213761,0.0,0.0,10.0,0.0,-32.21443777981599,10.0,-0.07106766597166123,33.7308464386774,0.9550438598800586,-0.2964645437575952,0.0,0.0,-1.0,0.0,72.75462137826847,72.75462137826847,-0.403416125300986,1.21929452706362,696.8841259001518,-13422.80705827537,-248.8137428244016,0.0,1244.068714122008,-67114.03529137683,0.0,-13422.80327305535,-248.8137428244016,10.08050303771708,1244.068363295704,-67114.03529137683,-0.9342932813821586,dt_005
0.05999999999999999,1,T,0.0,0.0,0.001471886041306587,0.0,0.0008933631955891961,0.0,0.0,0.0,0.05096000793802359,0.0,0.02963801675450952,0.0,32.07792600656535,0.0,0.07961727438242654,0.0,0.02963801675450952,0.0,0.0,10.0,0.0,-32.2261160903379,10.0,-0.07961727438242654,33.74199991506038,0.9550742745380102,-0.2963665468903225,0.0,0.0,-1.0,0.0,72.7605003935965,72.7605003935965,-0.4033149582234257,1.219469810440616,697.3450669391101,-13433.09720760718,-248.802444974513,0.0,1244.012224872565,-67165.48603803589,0.0,-13433.09184714487,-248.802444974513,12.0006330517683,1244.011728450889,-67165.48603803589,-1.111354588735891,dt_005
0.06499999999999999,1,T,0.0,0.0,0.001736291048997586,0.0,0.001047296141509493,0.0,0.0,0.0,0.05474887280415811,0.0,0.03192886653237693,0.0,32.0779094027321,0.0,0.08834398585711598,0.0,0.03192886653237693,0.0,0.0,10.0,0.0,-32.23755373539399,10.0,-0.08834398585711598,33.75292388582676,0.9551040331925408,-0.2962706292890707,0.0,0.0,-1.0,0.0,72.76625448859998,72.76625448859998,-0.4032159407956719,1.219641369306767,697.796670890979,-13443.17949449362,-248.7916083728345,0.0,1243.958041864173,-67215.89747246812,0.0,-13443.17212205834,-248.7916083728345,14.07898744049493,1243.957359659478,-67215.89747246812,-1.302792219287262,dt_005
0.06999999999999999,1,T,0.0,0.0,0.002018962747167305,0.0,0.001212568109192276,0.0,0.0,0.0,0.05828939960670646,0.0,0.03417010613069887,0.0,32.07789007071774,0.0,0.09718608803226256,0.0,0.03417010613069887,0.0,0.0,10.0,0.0,-32.24874060137124,10.0,-0.09718608803226256,33.76360866931333,0.9551331114283732,-0.2961768719079096,0.0,0.0,-1.0,0.0,72.77187881880374,72.77187881880374,-0.4031191563822625,1.219809059223606,698.2385281043997,-13453.04473625805,-248.7812280616485,0.0,1243.906140308243,-67265.22368129026,0.0,-13453.03484610935,-248.7812280616485,16.31272902123036,1243.905225837434,-67265.22368129026,-1.508320546946829,dt_005
0.075,1,T,0.0,0.0,0.002318722049747259,0.0,0.001388896448582134,0.0,0.0,0.0,0.06161521294781434,0.0,0.03634450502829892,0.0,32.07786781616966,0.0,0.1061681377127187,0.0,0.03634450502829892,0.0,0.0,10.0,0.0,-32.25959034131116,10.0,-0.1061681377127187,33.77397176805263,0.9551612870069978,-0.2960859939327352,0.0,0.0,-1.0,0.0,72.77733025542892,72.77733025542892,-0.4030253471504265,1.219971594302667,698.6672160058949,-13462.61647472454,-248.7713671808359,0.0,1243.85683590418,-67313.08237362269,0.0,-13462.60348980858,-248.7713671808359,18.69817419879996,1243.855636183716,-67313.08237362269,-1.727587786502726,dt_005
0.08,1,T,0.0,0.0,0.002634717337993674,0.0,0.001575950342951141,0.0,0.0,0.0,0.06473058906369356,0.0,0.03847377300012128,0.0,32.07784248614133,0.0,0.1152837981656054,0.0,0.03847377300012128,0.0,0.0,10.0,0.0,-32.27021135114194,10.0,-0.1152837981656054,33.78411669183271,0.9551888434881955,-0.2959970832215806,0.0,0.0,-1.0,0.0,72.78266352750053,72.78266352750053,-0.4029335713139617,1.220130606294809,699.087006146514,-13471.99004449625,-248.761911265854,0.0,1243.80955632927,-67359.95022248126,0.0,-13471.97331485124,-248.761911265854,21.23117854249423,1243.808011754766,-67359.95022248126,-1.960181285472047,dt_005
0.085,1,T,0.0,0.0,0.002965923287916407,0.0,0.001773570133334176,0.0,0.0,0.0,0.06773245889896606,0.0,0.04056896210170445,0.0,32.07781375338023,0.0,0.1246248774952789,0.0,0.04056896210170445,0.0,0.0,10.0,0.0,-32.28065856388876,10.0,-0.1246248774952789,33.79409589437724,0.9552159248402828,-0.2959096769818846,0.0,0.0,-1.0,0.0,72.78790640452557,72.78790640452557,-0.4028433510105544,1.220286923150413,699.5000618574982,-13481.21372281363,-248.7528003259257,0.0,1243.764001629629,-67406.06861406815,0.0,-13481.19251989641,-248.7528003259257,23.90986548492221,1243.762045468581,-67406.06861406815,-2.205901529743451,dt_005
0.09000000000000001,1,T,0.0,0.0,0.00331189860417628,0.0,0.001981579039706278,0.0,0.0,0.0,0.07062864598718936,0.0,0.04262979377753252,0.0,32.07778139730938,0.0,0.1341935271107548,0.0,0.04262979377753252,0.0,0.0,10.0,0.0,-32.29093036619705,10.0,-0.1341935271107548,33.80390782017054,0.9552425281117732,-0.2958237862083234,0.0,0.0,-1.0,0.0,72.7930582347716,72.7930582347716,-0.402754697455325,1.220440525438015,699.9063126476844,-13490.28591159407,-248.7440263275095,0.0,1243.720131637548,-67451.42955797035,0.0,-13490.25942575011,-248.7440263275095,26.73205030745967,1243.717689808105,-67451.42955797035,-2.464528131220805,dt_005
0.095,1,T,0.0,0.0,0.00367213680989173,0.0,0.002199805400252065,0.0,0.0,0.0,0.07344741364966494,0.0,0.04465516604771035,0.0,32.07774514819327,0.0,0.1440125021908468,0.0,0.04465516604771035,0.0,0.0,10.0,0.0,-32.30102097843182,10.0,-0.1440125021908468,33.81354693387094,0.95526863956635,-0.2957394567200233,0.0,0.0,-1.0,0.0,72.79811627771498,72.79811627771498,-0.4026676578076622,1.220591331448654,700.3055232025694,-13499.20133183524,-248.7355847282051,0.0,1243.677923641026,-67496.00665917619,0.0,-13499.1686695602,-248.7355847282051,29.69559203864083,1243.674914474083,-67496.00665917619,-2.735847206072218,dt_005
0.1,1,T,0.0,0.0,0.004046129713870607,0.0,0.002428070537507589,0.0,0.0,0.0,0.07615200188652152,0.0,0.04664276502417975,0.0,32.0777048725304,0.0,0.1540393095388503,0.0,0.04664276502417975,0.0,0.0,10.0,0.0,-32.3109186976513,10.0,-0.1540393095388503,33.82300204130663,0.955294230186644,-0.2956567837410592,0.0,0.0,-1.0,0.0,72.80307482982175,72.80307482982175,-0.4025823302149307,1.220739171130945,700.6972235903173,-13507.94946392457,-248.7274755492924,0.0,1243.637377746462,-67539.74731962287,0.0,-13507.90964570689,-248.7274755492924,32.79822188834329,1243.633711799683,-67539.74731962287,-3.019636309189675,dt_005
0.105,1,T,0.0,0.0,0.004433724460519694,0.0,0.002666144588495387,0.0,0.0,0.0,0.07885627129657258,0.0,0.04858270552786507,0.0,32.07766008073342,0.0,0.1643804340453272,0.0,0.04858270552786507,0.0,0.0,10.0,0.0,-32.32057360837275,10.0,-0.1643804340453272,33.83222544223541,0.955319172354073,-0.2955761812675857,0.0,0.0,-1.0,0.0,72.80790906948474,72.80790906948474,-0.402499141811492,1.220883304426413,701.0794305042227,-13516.48598492833,-248.7197285354627,0.0,1243.598642677314,-67582.42992464168,0.0,-13516.43794515588,-248.7197285354627,36.03686327052052,1243.594222727048,-67582.42992464168,-3.315609863357903,dt_005
