time,load_ID,sail_enable,surge,sway,heave,roll,pitch,yaw,surge_rate,sway_rate,heave_rate,roll_rate,pitch_rate,yaw_rate,V_CG_BODY_X,V_CG_BODY_Y,V_CG_BODY_Z,OMEGA_BODY_X,OMEGA_BODY_Y,OMEGA_BODY_Z,V_WIND_BODY_X,V_WIND_BODY_Y,V_WIND_BODY_Z,V_REL_BODY_X,V_REL_BODY_Y,V_REL_BODY_Z,V_REL_H_MAG,E_UPSTREAM_X,E_UPSTREAM_Y,E_UPSTREAM_Z,C_CHORD_X,C_CHORD_Y,C_CHORD_Z,ALPHA_RAW_DEG,ALPHA_DB_DEG,CL,CD,Q_DYNAMIC,FX_BODY,FY_BODY,FZ_BODY,MX_BODY,MY_BODY,MZ_BODY,FX_PLANNING,FY_PLANNING,FZ_PLANNING,MX_PLANNING,MY_PLANNING,MZ_PLANNING
.2500000000000000E-02,1,T,.000000000000000,.000000000000000,.1568605746600724E-05,.000000000000000,.1341725341939658E-05,.000000000000000,.000000000000000,.000000000000000,.1562822337566180E-02,.000000000000000,.1172949578805889E-02,.000000000000000,32.07798433091258,.000000000000000,.1605862182062742E-02,.000000000000000,.1172949578805889E-02,.000000000000000,.000000000000000,10.00000000000000,.000000000000000,-32.08384907880661,10.00000000000000,-.1605862182062742E-02,33.60615080177496,.9547016933909626,-.2975645755738213,.000000000000000,.000000000000000,-1.000000000000000,.000000000000000,72.68861554485115,72.68861554485115,-.4045519647054055,1.217326557133751,691.7411901733793,-13308.03583156682,-248.9561199989642,.000000000000000,1244.780599994821,-66540.17915783409,.000000000000000,-13308.03583155484,-248.9561199989642,.1785572892664886E-01,1244.780599993700,-66540.17915783409,-.1670153676167403E-02
.5000000000000000E-02,1,T,.000000000000000,.000000000000000,.7811810984100984E-05,.000000000000000,.5862033349159948E-05,.000000000000000,.000000000000000,.000000000000000,.3431567649219255E-02,.000000000000000,.2442800713868500E-02,.000000000000000,32.07798431237121,.000000000000000,.3619609863093318E-02,.000000000000000,.2442800713868500E-02,.000000000000000,.000000000000000,10.00000000000000,.000000000000000,-32.09019831594055,10.00000000000000,-.3619609863093318E-02,33.61221248231652,.9547184176829568,-.2975109122989458,.000000000000000,.000000000000000,-1.000000000000000,.000000000000000,72.69183608196246,72.69183608196246,-.4044965451649642,1.217422577740794,691.9907571232915,-13313.60350293482,-248.9485167460506,.000000000000000,1244.742583730253,-66568.01751467412,.000000000000000,-13313.60350270607,-248.9485167460506,.7804478773124966E-01,1244.742583708866,-66568.01751467412,-.7296722536904473E-02
.7500000000000000E-02,1,T,.000000000000000,.000000000000000,.1872786072444010E-04,.000000000000000,.1355367841179755E-04,.000000000000000,.000000000000000,.000000000000000,.5301752835938615E-02,.000000000000000,.3710140033496297E-02,.000000000000000,32.07798425823368,.000000000000000,.5736527519187014E-02,.000000000000000,.3710140033496297E-02,.000000000000000,.000000000000000,10.00000000000000,.000000000000000,-32.09653495840116,10.00000000000000,-.5736527519187014E-02,33.61826224443892,.9547350997807899,-.2974573738312183,.000000000000000,.000000000000000,-1.000000000000000,.000000000000000,72.69504907270932,72.69504907270932,-.4044412554836228,1.217518373352294,692.2398782557190,-13319.16140566712,-248.9409979315814,.000000000000000,1244.704989657907,-66595.80702833561,.000000000000000,-13319.16140444374,-248.9409979315814,.1805236304017105,1244.704989543579,-66595.80702833561,-.1687033114686655E-01
.1000000000000000E-01,1,T,.000000000000000,.000000000000000,.3432510516451143E-04,.000000000000000,.2441124643204358E-04,.000000000000000,.000000000000000,.000000000000000,.7177115091408118E-02,.000000000000000,.4975642752841569E-02,.000000000000000,32.07798414827823,.000000000000000,.7960178669788924E-02,.000000000000000,.4975642752841569E-02,.000000000000000,.000000000000000,10.00000000000000,.000000000000000,-32.10286236204244,10.00000000000000,-.7960178669788924E-02,33.62430329146228,.9547517485721063,-.2974039317132603,.000000000000000,.000000000000000,-1.000000000000000,.000000000000000,72.69825622525826,72.69825622525826,-.4043860662669662,1.217613994897392,692.4886852496976,-13324.71247661555,-248.9335592198482,.000000000000000,1244.667796099241,-66623.56238307778,.000000000000000,-13324.71247264540,-248.9335592198482,.3252728398704825,1244.667795728387,-66623.56238307778,-.3038389229358946E-01
.1250000000000000E-01,1,T,.000000000000000,.000000000000000,.5464372943451100E-04,.000000000000000,.3842701251339467E-04,.000000000000000,.000000000000000,.000000000000000,.9108271191069817E-02,.000000000000000,.6232435473101509E-02,.000000000000000,32.07798395935094,.000000000000000,.1034093228941180E-01,.000000000000000,.6232435473101509E-02,.000000000000000,.000000000000000,10.00000000000000,.000000000000000,-32.10914613671645,10.00000000000000,-.1034093228941180E-01,33.63030278824460,.9547682736873880,-.2973508761715782,.000000000000000,.000000000000000,-1.000000000000000,.000000000000000,72.70144012339178,72.70144012339178,-.4043312772161737,1.217708923109977,692.7358251977702,-13330.22652919267,-248.9262401810586,.000000000000000,1244.631200905293,-66651.13264596336,.000000000000000,-13330.22651935073,-248.9262401810586,.5122407815176069,1244.631199986360,-66651.13264596336,-.4782745871997850E-01
.1500000000000000E-01,1,T,.000000000000000,.000000000000000,.8030595268111109E-04,.000000000000000,.5552002847544756E-04,.000000000000000,.000000000000000,.000000000000000,.1151010118673198E-01,.000000000000000,.7431345424172242E-02,.000000000000000,32.07798364455741,.000000000000000,.1329107177168247E-01,.000000000000000,.7431345424172242E-02,.000000000000000,.000000000000000,10.00000000000000,.000000000000000,-32.11514037167827,10.00000000000000,-.1329107177168247E-01,33.63602594083611,.9547840291289765,-.2973002820722472,.000000000000000,.000000000000000,-1.000000000000000,.000000000000000,72.70447625741646,72.70447625741646,-.4042790309148426,1.217799445722211,692.9716226692173,-13335.48767677349,-248.9193218952722,.000000000000000,1244.596609476361,-66677.43838386744,.000000000000000,-13335.48765622034,-248.9193218952722,.7403866551680738,1244.596607558143,-66677.43838386744,-.6910003916307322E-01
.1750000000000000E-01,1,T,.000000000000000,.000000000000000,.1124845144504254E-03,.000000000000000,.7555831462395067E-04,.000000000000000,.000000000000000,.000000000000000,.1426497533103690E-01,.000000000000000,.8605995654895150E-02,.000000000000000,32.07798316363328,.000000000000000,.1668873372074875E-01,.000000000000000,.8605995654895150E-02,.000000000000000,.000000000000000,10.00000000000000,.000000000000000,-32.12101314190776,10.00000000000000,-.1668873372074875E-01,33.64163321336542,.9547994575110720,-.2972507290765872,.000000000000000,.000000000000000,-1.000000000000000,.000000000000000,72.70744986661740,72.70744986661740,-.4042278605511201,1.217888104151136,693.2026847233493,-13340.64332059367,-248.9126039435928,.000000000000000,1244.563019717964,-66703.21660296834,.000000000000000,-13340.64328251241,-248.9126039435928,1.007996524344204,1244.563016165322,-66703.21660296834,-.9403708412370684E-01
.2000000000000000E-01,1,T,.000000000000000,.000000000000000,.1515409923754580E-03,.000000000000000,.9863163132436911E-04,.000000000000000,.000000000000000,.000000000000000,.1704918486412677E-01,.000000000000000,.9868088775978593E-02,.000000000000000,32.07798249541892,.000000000000000,.2021308870043312E-01,.000000000000000,.9868088775978593E-02,.000000000000000,.000000000000000,10.00000000000000,.000000000000000,-32.12732293929881,10.00000000000000,-.2021308870043312E-01,33.64765785676612,.9548160254143336,-.2971975060662098,.000000000000000,.000000000000000,-1.000000000000000,.000000000000000,72.71064365499426,72.71064365499426,-.4041729013073684,1.217983327242226,693.4509885381721,-13346.18384589909,-248.9054524127408,.000000000000000,1244.527262063704,-66730.91922949547,.000000000000000,-13346.18378098193,-248.9054524127408,1.316355882541675,1244.527256010200,-66730.91922949547,-.1227497538859714
.2250000000000000E-01,1,T,.000000000000000,.000000000000000,.1983263001866806E-03,.000000000000000,.1248955553834256E-03,.000000000000000,.000000000000000,.000000000000000,.2043293908706139E-01,.000000000000000,.1114658271985436E-01,.000000000000000,32.07798153086443,.000000000000000,.2443933658613546E-01,.000000000000000,.1114658271985436E-01,.000000000000000,.000000000000000,10.00000000000000,.000000000000000,-32.13371444446370,10.00000000000000,-.2443933658613546E-01,33.65376062193251,.9548327987904515,-.2971436123392076,.000000000000000,.000000000000000,-1.000000000000000,.000000000000000,72.71387763504283,72.71387763504283,-.4041172504386178,1.218079748651667,693.7025574489802,-13351.79740571154,-248.8982783419856,.000000000000000,1244.491391709928,-66758.98702855768,.000000000000000,-13351.79730157486,-248.8982783419856,1.667580148017921,1244.491382003580,-66758.98702855768,-.1554314431334105
.2500000000000000E-01,1,T,.000000000000000,.000000000000000,.2536356045359689E-03,.000000000000000,.1544111302882837E-03,.000000000000000,.000000000000000,.000000000000000,.2384740759270943E-01,.000000000000000,.1246527733983862E-01,.000000000000000,32.07798026831875,.000000000000000,.2880060510696627E-01,.000000000000000,.1246527733983862E-01,.000000000000000,.000000000000000,10.00000000000000,.000000000000000,-32.14030665501794,10.00000000000000,-.2880060510696627E-01,33.66005513778298,.9548500893256369,-.2970880457285743,.000000000000000,.000000000000000,-1.000000000000000,.000000000000000,72.71721193969628,72.71721193969628,-.4040598731673124,1.218179161248331,693.9620785256365,-13357.58860026247,-248.8909528714419,.000000000000000,1244.454764357210,-66787.94300131235,.000000000000000,-13357.58844102133,-248.8909528714419,2.062560345496220,1244.454749521568,-66787.94300131235,-.1921576659934404
