     0.33028    -0.91581     0.22849    -3.28491    31.01627   129.06378     3.57153
     0.34779    -0.85668     0.38096    -2.65588    51.58270   118.41988     3.74471
     0.40266    -0.77732     0.48337    -1.71810    64.50282   105.15958     3.89565
     0.41381    -0.70746     0.57294    -0.55516    75.44621    93.56164     4.10992
     0.40476    -0.65509     0.63799     0.69460    82.86217    84.64301     4.33059
     0.38645    -0.61909     0.68365     1.95357    87.52664    78.15703     4.50681
     0.37084    -0.59467     0.71333     3.17270    89.94719    73.33570     4.63371
     0.35542    -0.58310     0.73053     4.30505    90.66578    70.27356     4.70049
     0.33754    -0.58411     0.73817     5.31372    90.12206    68.88336     4.69760
     0.33366    -0.92139    -0.19926    -4.90892   -29.87103   129.90400     4.14361
     0.32330    -0.91057    -0.25757    -5.06937   -37.45552   126.05195     4.21248
     0.36850    -0.91393    -0.17012    -5.10996   -25.15864   124.09071     4.12033
     0.42308    -0.90565    -0.02843    -4.78641    -6.01698   120.44221     4.06032
     0.45073    -0.88498     0.11679    -4.10225    13.11224   115.18947     4.09310
     0.45146    -0.85576     0.25270    -3.10179    30.54760   108.99055     4.19383
     0.43416    -0.81662     0.38031    -1.79397    46.43724   101.76126     4.38201
     0.40865    -0.76793     0.49324    -0.25623    59.98023    93.59723     4.65943
     0.38141    -0.72247     0.57668     1.23759    69.39280    86.11750     5.11432
     0.38970    -0.83153    -0.39585    -6.11569   -59.04290   118.00469     5.97770
     0.29090    -0.88886    -0.35398    -6.83964   -51.46911   123.62131     5.87034
     0.27639    -0.92023    -0.27710    -7.14894   -39.89239   125.35020     5.70744
     0.32254    -0.93477    -0.14893    -7.04809   -22.26442   124.48014     5.53896
     0.34721    -0.93722     0.03255    -6.42182     1.85668   121.95261     5.47421
     0.35226    -0.91087     0.21502    -5.23920    25.29750   115.74767     5.60355
     0.35031    -0.86809     0.35171    -3.85237    42.05293   107.63376     5.84824
     0.34480    -0.82623     0.44548    -2.51425    52.80805    99.88802     5.96144
     0.52811    -0.80382     0.27380    -7.04255    34.23832   114.10071     5.32447
     0.29361    -0.95555    -0.02683    -8.64675    -6.39746   133.20971     5.27122
     0.21976    -0.97550    -0.00999    -8.78242    -3.34458   133.37705     5.27335
     0.22244    -0.97144     0.08258    -8.43534     9.12411   130.05277     5.28662
     0.22969    -0.94994     0.21180    -7.67364    25.88791   124.42912     5.38857
     0.24956    -0.91141     0.32720    -6.63913    40.06174   116.65440     5.57229
     0.26728    -0.86861     0.41724    -5.50548    50.43690   108.52645     5.79286
     0.27596    -0.82633     0.49094    -4.30087    58.40171   100.71670     6.04102
     0.48216    -0.63048     0.60829    -6.30601    80.56080    88.49758     4.78046
     0.25039    -0.84993     0.46360    -8.23878    61.64386   117.46375     4.41482
     0.14870    -0.89523     0.42005    -8.54819    55.65916   121.64916     4.31832
     0.13140    -0.86394     0.48615    -7.83830    63.63880   115.20991     4.48664
     0.13644    -0.82835     0.54334    -7.05865    69.87811   108.30502     4.66941
     0.15555    -0.78632     0.59791    -6.14065    75.35107   100.69285     4.88754
     0.16939    -0.74117     0.64960    -5.10175    80.25460    92.89783     5.15062
     0.17425    -0.69533     0.69725    -3.97627    84.50867    85.26965     5.45999
     0.21909    -0.42393     0.87880    -4.59761   119.35373    58.72279     3.69971
     0.10040    -0.50678     0.85621    -4.96024   115.90034    69.18188     3.47312
     0.04993    -0.49598     0.86690    -4.50835   116.08731    66.67659     3.62671
     0.04857    -0.47732     0.87739    -4.04332   115.59679    63.11140     3.76812
